id,title,artist,album,release,img
1,Speaking,Mrs.GREEN APPLE,Speaking,2015-12-16,./images/1.jpg
2,WanteD! WanteD!,Mrs.GREEN APPLE,WanteD! WanteD!,2017-08-30,./images/2.jpg
3,春愁,Mrs.GREEN APPLE,"Love me, Love you",2018-02-14,./images/3.jpg
4,青?夏,Mrs.GREEN APPLE,青?夏,2018-08-01,./images/4.jpg
5,?描?唄(feat.井上苑子),Mrs.GREEN APPLE,青?夏,2018-08-01,./images/5.jpg
6,僕???,Mrs.GREEN APPLE,僕???,2019-01-09,./images/6.jpg
7,ANTENNA,Mrs.GREEN APPLE,ANTENNA,2023-07-05,./images/7.jpg
8,Soranji,Mrs.GREEN APPLE,Soranji,2022-11-09,./images/8.jpg
9,???????????,Mrs.GREEN APPLE,Unity,2022-07-08,./images/9.jpg
10,正解,RADWIMPS,正解,2024-02-28,./images/10.jpg
11,?????,RADWIMPS,余命10年 ～Original Soundtrack～,2022-03-04,./images/11.jpg
12,祝祭 feat.三浦透子,RADWIMPS,天??子 complete version,2019-11-27,./images/12.jpg
13,愛?????????????,RADWIMPS,天??子 complete version,2019-11-27,./images/13.jpg
14,夢?籠,RADWIMPS,君?名?。,2019-11-27,./images/14.jpg
15,前前前世(movie ver.),RADWIMPS,君?名?。,2019-11-27,./images/15.jpg
16,?????(movie ver.),RADWIMPS,君?名?。,2019-11-27,./images/16.jpg
17,君?羊?青,RADWIMPS,?体?命,2011-03-09,./images/17.jpg
18,05410-(?),RADWIMPS,RADWIMPS 4～???????～,2006-12-06,./images/18.jpg
19,me me she,RADWIMPS,RADWIMPS 4～???????～,2006-12-06,./images/19.jpg
20,有心論,RADWIMPS,RADWIMPS 4～???????～,2006-12-06,./images/20.jpg
21,春泥棒,????,創作(Type A),2021-01-27,./images/21.jpg
22,風?食?,????,創作(Type A),2021-01-27,./images/22.jpg
23,花?亡?,????,?作,2020-07-29,./images/23.jpg
24,憂一?,????,???,2019-08-28,./images/24.jpg
25,藍二?,????,???僕?音?????,2019-04-10,./images/25.jpg
26,???僕?音?????,????,???僕?音?????,2019-04-10,./images/26.jpg
27,言??。,????,夏草?邪魔???,2017-06-28,./images/27.jpg
28,雲?幽?,????,夏草?邪魔???,2017-06-28,./images/28.jpg
29,靴?花火,????,夏草?邪魔???,2017-06-28,./images/29.jpg
30,地球儀,米津玄師,地球儀,2023-07-26,./images/30.jpg
31,KICK BACK,米津玄師,KICK BACK,2022-11-23,./images/31.jpg
32,M八七,米津玄師,M八七,2022-07-10,./images/32.jpg
33,Pale Blue,米津玄師,Pale Blue,2021-06-16,./images/33.jpg
34,死神,米津玄師,Pale Blue,2021-06-16,./images/34.jpg
35,馬?鹿,米津玄師,馬?鹿,2019-09-11,./images/35.jpg
36,海?幽?,米津玄師,馬?鹿,2019-09-11,./images/36.jpg
37,Lemon,米津玄師,Lemon,2018-03-14,./images/37.jpg
38,orion,米津玄師,orion,2017-02-15,./images/38.jpg
39,LOSER,米津玄師,LOSER/???????,2016-09-28,./images/39.jpg
40,SPECIALZ,King Gnu,SPECIALZ,2023-09-06,./images/40.jpg
41,雨燦?,King Gnu,Stardom,2022-11-30,./images/41.jpg
42,?????,King Gnu,?????,2022-03-16,./images/42.jpg
43,一途,King Gnu,一途/逆夢,2021-12-29,./images/43.jpg
44,逆夢,King Gnu,一途/逆夢,2021-12-29,./images/44.jpg
45,Prayer X,King Gnu,Prayer X,2018-09-19,./images/45.jpg
46,Teenager Forever,King Gnu,CEREMONY,2020-01-15,./images/46.jpg
47,白日,King Gnu,CEREMONY,2020-01-15,./images/47.jpg
48,Cantabile,Novelbright,CIRCUS,2024-04-03,./images/48.jpg
49,雪?音,Novelbright,CIRCUS,2024-04-03,./images/49.jpg
50,愛?????,Novelbright,Assort,2022-05-18,./images/50.jpg
51,開幕宣言,Novelbright,開幕宣言,2021-04-28,./images/51.jpg
52,Sunny drop,Novelbright,開幕宣言,2021-04-28,./images/52.jpg
53,?????,Novelbright,開幕宣言,2021-04-28,./images/53.jpg
54,夢花火,Novelbright,WONDERLAND,2020-05-27,./images/54.jpg
55,Chessboard,Official髭男dism,Chessboard/日常,2023-09-13,./images/55.jpg
56,???????,Official髭男dism,??????? EP,2022-06-22,./images/56.jpg
57,I LOVE...,Official髭男dism,I LOVE...,2020-02-12,./images/57.jpg
58,宿命,Official髭男dism,宿命,2019-07-31,./images/58.jpg
59,Pretender,Official髭男dism,Pretender,2019-05-15,./images/59.jpg
60,Sharon,Official髭男dism,Rejoice,2024-07-31,./images/60.jpg
61,SOULSOUP,Official髭男dism,Rejoice,2024-07-31,./images/61.jpg
62,Cry Baby,Official髭男dism,Editorial,2021-08-18,./images/62.jpg
63,Laughter,Official髭男dism,Editorial,2021-08-18,./images/63.jpg
64,??????,Official髭男dism,Traveler,2019-10-09,./images/64.jpg
65,裸?勇者,Vaundy,裸?勇者,2022-02-23,./images/65.jpg
66,?火,Vaundy,strobo,2020-05-27,./images/66.jpg
67,怪??花唄,Vaundy,strobo,2020-05-27,./images/67.jpg
68,東京?????,Vaundy,strobo,2020-05-27,./images/68.jpg
69,不可幸力,Vaundy,strobo,2020-05-27,./images/69.jpg
70,僕?今日?,Vaundy,strobo,2020-05-27,./images/70.jpg
71,世界?秘密,Vaundy,replica,2023-11-15,./images/71.jpg
72,???bitter?話,Vaundy,replica,2023-11-15,./images/72.jpg
73,花占?,Vaundy,replica,2023-11-15,./images/73.jpg
74,CHAINSAW BLOOD,Vaundy,replica,2023-11-15,./images/74.jpg
75,踊,Ado,狂言,2022-01-26,./images/75.jpg
76,????,Ado,狂言,2022-01-26,./images/76.jpg
77,?????,Ado,狂言,2022-01-26,./images/77.jpg
78,新時代,Ado,???歌 ONE PIECE FILM RED,2023-06-14,./images/78.jpg
79,私?最強,Ado,???歌 ONE PIECE FILM RED,2023-06-14,./images/79.jpg
80,逆光,Ado,???歌 ONE PIECE FILM RED,2023-06-14,./images/80.jpg
81,Tot Musica,Ado,???歌 ONE PIECE FILM RED,2023-06-14,./images/81.jpg
82,向日葵,Ado,?夢,2024-07-10,./images/82.jpg
83,永遠????日,Ado,?夢,2024-07-11,./images/83.jpg
84,唱,Ado,?夢,2024-07-12,./images/84.jpg
85,何??w,藤井風,HELP EVER HURT NEVER,2020-05-20,./images/85.jpg
86,優??,藤井風,HELP EVER HURT NEVER,2020-05-20,./images/86.jpg
87,死??????,藤井風,HELP EVER HURT NEVER,2020-05-20,./images/87.jpg
88,???,藤井風,HELP EVER HURT NEVER,2020-05-20,./images/88.jpg
89,???,藤井風,LOVE ALL SERVE ALL,2022-03-23,./images/89.jpg
90,燃??,藤井風,LOVE ALL SERVE ALL,2022-03-23,./images/90.jpg
91,旅路,藤井風,LOVE ALL SERVE ALL,2022-03-23,./images/91.jpg
